ステージID,識別ID,パス,拡張子,"常駐フラグ(0:F,1:T)",BGMかどうか
SCENE_STAGESELECT,I_STAGE2MINIMAP,data/img/stage2_minimap,.png,0,
,,,,,
SCENE_GAME,I_OPERATIONINGAME,data/img/operation_inGame,.png,0,
SCENE_GAME,I_CROSSHAIR,data/img/crosshair,.png,0,
SCENE_GAME,I_CROSSHAIRPARTS,data/img/crosshair_parts,.png,0,
SCENE_GAME,S_INGAMEBGM,data/sound/bgm/inGame,.mp3,0,1
SCENE_GAME,M_PORTION,data/model/object/portion/bottle_red,.mv1,0,
SCENE_GAME,M_ARROW,data/model/object/arrow,.mv1,0,
SCENE_GAME,E_ARROW,data/effect/arrow,.efk,0,
SCENE_GAME,M_PLAYER,data/model/character/player,.mv1,0,
SCENE_GAME,M_CROSSBOW,data/model/object/Crossbow,.mv1,0,
SCENE_GAME,M_ARROWWALL,data/model/object/trap/arrowWall,.mv1,0,
SCENE_GAME,E_ENEMYHIT,data/effect/enemy_hit,.efk,0,
SCENE_GAME,E_ENEMYCRITICALHIT,data/effect/enemy_CriticalHit,.efk,0,
SCENE_GAME,E_ENEMYDEAD,data/effect/enemy_dead,.efk,0,
SCENE_GAME,S_ENEMYHIT,data/sound/se/enemyHit,.mp3,0,0
SCENE_GAME,I_HPGAUGE,data/img/hp/hp_gauge,.png,0,
SCENE_GAME,I_HPFRAME,data/img/hp/hp_frame,.png,0,
SCENE_GAME,I_HPGAUGEDECREASE,data/img/hp/hp_gauge_decrease,.png,0,
SCENE_GAME,I_HPGAUGEBG,data/img/hp/hp_gaugeBg,.png,0,
SCENE_GAME,I_SLOTBG,data/img/slotBg,.png,0,
SCENE_GAME,I_SLOTSELECT,data/img/slotSelect,.png,0,
SCENE_GAME,I_SLOTCROSSBOW,data/img/crossbow,.png,0,
SCENE_GAME,I_SLOTARROWWALL,data/img/arrowWall,.png,0,
SCENE_GAME,I_SLOTFLAME,data/img/flame,.png,0,
SCENE_GAME,I_SPIKE,data/img/spike,.png,0,
SCENE_GAME,I_FLAME,data/img/flame,.png,0,
SCENE_GAME,I_CRYSTALBG,data/img/crystalBg,.png,0,
SCENE_GAME,I_IRONUI,data/img/ironUi,.png,0,
SCENE_GAME,I_MINIMAPBG,data/img/miniMapBg,.png,0,
SCENE_GAME,I_TRAPPOINTBG,data/img/trapPointBg,.png,0,
SCENE_GAME,M_SKYBOX,data/model/object/skyBox,.mv1,0,
SCENE_GAME,M_HAMNNER,data/model/object/trap/hammer,.mv1,0,
SCENE_GAME,M_SPIKE,data/model/object/trap/spike,.mv1,0,
SCENE_GAME,M_FLAME,data/model/object/trap/flame,.mv1,0,
SCENE_GAME,E_FLAMETRAP,data/effect/trap_fire,.efk,0,
SCENE_GAME,E_TRAPATTACKAREA,data/effect/trap_attackArea,.efk,0,
SCENE_GAME,I_TRAPICON,data/img/trapPoint,.png,0,
SCENE_GAME,I_ENEMY_HPGAUGE,data/img/hp/enemy/hp_gauge,.png,0,
SCENE_GAME,I_ENEMY_HPFRAME,data/img/hp/enemy/hp_frame,.png,0,
SCENE_GAME,I_ENEMY_HPGAUGEBG,data/img/hp/enemy/hp_gaugeBg,.png,0,
SCENE_GAME,M_STAGECOLLISION1,data/model/stage/Collision/p_stage1Col,.mv1,0,
SCENE_GAME,M_E_STAGECOLLISION1,data/model/stage/Collision/stage1Col,.mv1,0,
SCENE_GAME,M_STAGECOLLISION2,data/model/stage/Collision/p_stage2Col,.mv1,0,
SCENE_GAME,M_E_STAGECOLLISION2,data/model/stage/Collision/stage2Col,.mv1,0,
SCENE_GAME,E_TRAPCREATE,data/effect/trap_create,.efk,0,
SCENE_GAME,E_PLAYERHEAL,data/effect/player_heal,.efk,0,
SCENE_GAME,E_PORTION,data/effect/portion,.efk,0,
SCENE_GAME,E_PLAYERSHOT,data/effect/player_shot,.efk,0,
SCENE_GAME,S_PLAYERHEAL,data/sound/se/player_heal,.mp3,0,0
SCENE_GAME,S_ENEMY_APPEAR,data/sound/se/enemy_Appear,.mp3,0,0
SCENE_GAME,S_SPIKEATTACK,data/sound/se/spikeTrap_attack,.mp3,0,0
SCENE_GAME,S_TRAPCREATE,data/sound/se/trap_create,.mp3,0,0
SCENE_GAME,S_FLAMETRAPATTACK,data/sound/se/flameTrap_attack,.mp3,0,0
SCENE_GAME,S_PLAYERWALK,data/sound/se/player_walk,.mp3,0,0
SCENE_GAME,S_PLAYERREVIVAL,data/sound/se/player_revival,.mp3,0,0
SCENE_GAME,S_PLAYERSHOT,data/sound/se/player_shot,.mp3,0,0
SCENE_GAME,S_PLAYERHIT,data/sound/se/player_hit,.mp3,0,0
SCENE_GAME,S_CLEAR,data/sound/se/clear,.mp3,0,0
SCENE_GAME,I_STAGE1MINIMAP,data/img/stage1_minimap,.png,0,
SCENE_GAME,I_STAGE2MINIMAP,data/img/stage2_minimap,.png,0,
,,,,,
SCENE_GAME,I_BIGWINDOW2,data/img/ui_bigWindow2,.png,0,
